Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 30.41   2706.86  2706.86                             PROPAGAT.in.WAMCOR_MOD
 11.69   3747.49  1040.62                             IMPLSCH.in.WAMCOR_MOD
  8.79   4529.81   782.32                             MPIDI_CH3I_MRAILI_Cq_poll_ib
  8.38   5275.32   745.51                             mlx4_poll_cq
  7.51   5943.60   668.28                             MPIDI_CH3I_Progress
  3.05   6215.07   271.47                             __rmod
  2.99   6480.81   265.74                             INTER.in.WAMCOR_MOD
  2.61   6713.34   232.53                             MPIDI_CH3I_read_progress
  2.24   6912.82   199.48                             tanf
  2.08   7097.81   184.99                             READWI_MPI.in.WAMMPI_MOD
  1.65   7244.63   146.81                             MEAN2.in.WAMCOR_MOD
  1.41   7370.37   125.74                             MPIDI_CH3I_MRAILI_Get_next_vbuf
  1.26   7482.14   111.77                             MPIDU_Sched_progress_state
  1.21   7589.71   107.58                             get_sw_cqe
  1.02   7680.24    90.53                             sinf
  0.94   7764.20    83.96                             MEAN1.in.WAMCOR_MOD
  0.88   7842.82    78.62                             __rtand
  0.83   7917.04    74.22                             cosf
  0.82   7989.69    72.65                             MPIDI_CH3_VC_GetStateString
  0.76   8057.71    68.02                             coshf
  0.63   8113.99    56.28                             sinhf
  0.59   8166.19    52.20                             MPIDU_Sched_progress
  0.58   8218.15    51.96                             r_cosd
  0.58   8269.49    51.34                             pthread_spin_lock
  0.57   8319.82    50.33                             MIXTURE_WIT.in.WAMCPL_MOD
  0.42   8356.94    37.12                             mlx4_alloc_buf
  0.42   8394.02    37.08                             mlx4_cq_clean
  0.42   8431.03    37.01                             MPIDI_CH3I_MRAILI_Cq_poll_iwarp
  0.41   8467.49    36.46                             MPIDI_CH3I_MRAILI_Get_next_vbuf_local
  0.41   8503.86    36.37                             pthread_spin_init
  0.41   8540.17    36.31                             MPID_Sched_cb2
  0.40   8575.64    35.47                             utarray_str_dtor
  0.34   8605.96    30.32                             INTACT.in.WAMCPL_MOD
  0.33   8635.65    29.69                             MPIDI_CH3I_MRAILI_Test_pkt
  0.31   8662.80    27.15                             isnanf
  0.30   8689.29    26.49                             OUTPUT.in.WAMMPI_MOD
  0.29   8715.09    25.81                             get_cqe
  0.23   8735.47    20.38                             MIXTURE_LIMIT.in.WAMCPL_MOD
  0.19   8752.55    17.08                             expf
  0.18   8768.52    15.97                             write
  0.15   8782.20    13.68                             sw5mc_exception
  0.14   8794.74    12.54                             logf
  0.13   8806.64    11.90                             read
  0.11   8816.85    10.21                             TZ2
  0.10   8825.78     8.93                             powf
  0.10   8834.29     8.51                             __TRIG_RDXF_TZ10
  0.09   8842.33     8.04                             r_mod
  0.08   8849.88     7.55                             UPDATE4D_SGLE.in.YMPI_MOD
  0.08   8856.89     7.01                             MIXTURE.in.WAMCPL_MOD
  0.08   8863.72     6.83                             pthread_spin_unlock
  0.07   8870.36     6.64                             tanhf
  0.07   8876.16     5.80                             memcpy
  0.06   8881.08     4.92                             __TRIG_RDXF_TZ10
  0.03   8883.88     2.80                             TZ1
  0.03   8886.56     2.68                             SETSPEC.in.WAMCOR_MOD
  0.02   8888.15     1.59                             __powri
  0.01   8889.43     1.28                             memset
  0.01   8890.70     1.27                             _getfpemode
  0.01   8891.79     1.09                             open64
  0.01   8892.76     0.97                             SETLAND_V3.in.WAMMPI_MOD
  0.01   8893.44     0.68                             swapn4b
  0.01   8894.07     0.63                             atan2f
  0.01   8894.56     0.49                             _Copyout
  0.00   8895.00     0.44                             DATENUM_DAYS.in.TIME_MOD
  0.00   8895.43     0.43                             _Copyin
  0.00   8895.78     0.35                             GET_WIND.in.WAMFIO_MOD
  0.00   8896.06     0.28                             TZ1
  0.00   8896.34     0.28                             _xstat
  0.00   8896.54     0.20                             strncasecmp_l
  0.00   8896.71     0.17                             SET_PEBOX.in.YMPI_MOD
  0.00   8896.88     0.17                             lseek
  0.00   8897.04     0.16                             mlx4_post_send
  0.00   8897.18     0.14                             fill_NC_var
  0.00   8897.29     0.11                             handle_cqe
  0.00   8897.36     0.07                             _HTON
  0.00   8897.43     0.07                             mlx4_post_recv
  0.00   8897.49     0.06                             __ratn2d
